 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |  redshift  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |      morph. type      |   ang. size   |#bib|#not
1   |UGC 836                            |G  |01 18 59.4210922213 +44 17 11.036445854|0.038417    |     ~|16.0  |     ~|     ~|     ~|~              |E D ~                  |0.463 0.417    |   8|   0
508 |2dFGRS TGS430Z095                  |G  |23 56 32.022 -31 37 03.34              |0.0598      |     ~|16.156|     ~|14.853|     ~|~              |E D 1996MNRAS.278.1025L|0.317 0.228    |   5|   0
509 |2MASX J23582614-3145081            |G  |23 58 26.140 -31 45 08.18              |0.061058    |     ~|15.95 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.397 0.262    |   9|   0
510 |2dFGRS TGS432Z041                  |G  |23 59 12.9812766765 -32 42 49.449539939|0.043024    |     ~|16.157|     ~|14.933|     ~|~              |E D 1996MNRAS.278.1025L|0.283 0.255    |   5|   0
511 |2dFGRS TGS433Z257                  |G  |00 01 01.3033309060 -31 23 09.485658017|0.0296      |     ~|16.057|12.90 |15.157|     ~|~              |E D 1996MNRAS.278.1025L|0.273 0.202    |   4|   0
512 |MCG-05-01-027                      |G  |00 02 45.2055922124 -32 13 36.373331503|0.0272      |     ~|15.66 |     ~|14.351|     ~|~              |E D 1996MNRAS.278.1025L|0.350 0.273    |  12|   0
513 |2MASX J00084349-3127149            |G  |00 08 43.4768623156 -31 27 14.994527980|0.057867    |     ~|16.41 |12.75 |     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.250 0.235    |   7|   0
514 |2dFGRS TGS495Z052                  |G  |00 11 13.9132172725 -33 22 49.454504104|0.026962    |     ~|15.839|     ~|14.643|     ~|~              |E D 1996MNRAS.278.1025L|0.373 0.261    |   8|   0
515 |2dFGRS TGS434Z196                  |G  |00 08 46.527 -31 00 39.93              |0.057022    |     ~|15.621|11.69 |14.682|     ~|~              |E D 1996MNRAS.278.1025L|0.353 0.325    |   9|   0
516 |2dFGRS TGS361Z047                  |G  |00 13 07.5476221856 -31 00 40.505211878|0.0620      |     ~|16.154|     ~|14.907|     ~|~              |E D 1996MNRAS.278.1025L|0.320 0.256    |   5|   0
517 |2MASX J00141547-3139292            |G  |00 14 15.477 -31 39 29.26              |0.022209    |     ~|16.02 |     ~|14.325|     ~|~              |E D 1996MNRAS.278.1025L|0.443 0.177    |  15|   0
518 |2dFGRS TGS436Z247                  |G  |00 16 13.2343911993 -31 02 23.454763551|0.0611      |     ~|16.149|     ~|14.893|     ~|~              |E D 1996MNRAS.278.1025L|0.250 0.225    |   5|   0
519 |MCG-06-02-005                      |G  |00 26 20.6065359628 -33 24 48.774332265|0.032355    |     ~|15.58 |     ~|14.405|     ~|~              |E D 1996MNRAS.278.1025L|0.393 0.323    |   9|   0
520 |MCG-06-02-007                      |G  |00 27 28.3450104564 -32 38 45.898614801|0.049901    |     ~|15.73 |     ~|13.958|     ~|~              |E D ~                  |0.590 0.413    |  12|   0
521 |2dFGRS TGS440Z217                  |G  |00 31 44.950 -32 12 46.05              |0.0246      |     ~|15.915|     ~|14.699|     ~|~              |E D 1996MNRAS.278.1025L|0.350 0.224    |   6|   0
522 |2dFGRS TGS499Z198                  |G  |00 27 37.657 -32 50 24.72              |0.0524      |     ~|16.022|     ~|14.744|     ~|~              |E D 1996MNRAS.278.1025L|0.387 0.309    |   8|   0
523 |ESO 410-23                         |G  |00 35 54.6737375990 -31 08 55.309940907|0.055799    |     ~|15.83 |     ~|14.31 |     ~|~              |E D ~                  |0.347 0.298    |   9|   0
524 |2dFGRS TGS368Z164                  |G  |00 43 33.8407599991 -30 34 15.570834104|0.048127    |     ~|16.06 |     ~|14.861|     ~|~              |E D 1996MNRAS.278.1025L|0.387 0.271    |   7|   0
525 |ESO 351-15                         |G  |00 51 44.9585670344 -33 00 32.067869054|0.039545    |     ~|15.68 |     ~|14.72 |     ~|~              |E D ~                  |0.250 0.155    |   6|   0
526 |2dFGRS TGS441Z099                  |G  |00 45 06.186 -31 38 33.56              |0.044904    |     ~|15.873|     ~|14.859|     ~|~              |E D 1996MNRAS.278.1025L|0.383 0.230    |   6|   0
527 |2dFGRS TGS368Z102                  |G  |00 45 52.4054610246 -30 29 35.403861239|0.063580    |     ~|15.535|     ~|14.164|     ~|~              |E D 1996MNRAS.278.1025L|0.440 0.378    |   9|   0
528 |2dFGRS TGS442Z177                  |G  |00 48 54.2293362183 -31 52 59.456041610|0.0471      |     ~|16.118|     ~|14.926|     ~|~              |E D 1996MNRAS.278.1025L|0.330 0.205    |   5|   0
529 |2dFGRS TGS443Z241                  |G  |00 52 41.633 -31 21 10.82              |0.031907    |     ~|16.021|     ~|14.797|     ~|~              |E D 1996MNRAS.278.1025L|0.343 0.227    |   5|   0
530 |MCG-05-03-018                      |G  |00 57 25.7083431947 -30 56 00.485301642|0.031907    |     ~|16.20 |     ~|14.777|     ~|~              |E D 1996MNRAS.278.1025L|0.323 0.239    |   5|   0
531 |2MASX J00581955-3038257            |G  |00 58 19.556 -30 38 25.76              |0.0325      |     ~|16.180|     ~|15.379|     ~|~              |E D 1996MNRAS.278.1025L|0.230 0.138    |   3|   0
532 |MCG-05-04-013                      |G  |01 13 32.4956128193 -31 48 25.259892541|0.018759    |     ~|16.17 |     ~|14.570|     ~|~              |E D 1996MNRAS.278.1025L|0.337 0.296    |   7|   0
533 |2dFGRS TGS374Z107                  |G  |01 11 42.4027686897 -30 01 41.707032386|0.032379    |     ~|15.499|     ~|14.270|     ~|~              |E D 1996MNRAS.278.1025L|0.397 0.294    |  12|   0
534 |2dFGRS TGS374Z060                  |G  |01 12 53.2184556846 -30 41 38.478234925|0.032079    |     ~|15.422|     ~|14.192|     ~|~              |E D 1996MNRAS.278.1025L|0.470 0.338    |   9|   0
535 |2dFGRS TGS447Z179                  |G  |01 13 38.1171663974 -31 39 11.085516178|0.019691    |     ~|15.809|     ~|14.551|     ~|~              |E D 1996MNRAS.278.1025L|0.323 0.213    |   7|   0
536 |2dFGRS TGS448Z255                  |G  |01 13 48.2643716509 -32 01 40.695836811|0.0348      |     ~|15.061|     ~|13.672|     ~|~              |E D 1996MNRAS.278.1025L|0.403 0.363    |   8|   0
537 |2dFGRS TGS447Z115                  |G  |01 15 25.9882114401 -31 45 21.070929220|0.0177      |     ~|15.741|     ~|14.557|     ~|~              |E D 1996MNRAS.278.1025L|0.460 0.221    |   8|   0
538 |2dFGRS TGS376Z235                  |G  |01 18 07.8588869710 -30 54 25.161659748|0.032117    |     ~|15.837|     ~|14.707|     ~|~              |E D 1996MNRAS.278.1025L|0.347 0.277    |   6|   0
539 |2dFGRS TGS376Z230                  |G  |01 18 22.8457930060 -31 11 29.421908671|0.0576      |     ~|16.272|     ~|14.890|     ~|~              |E D 1996MNRAS.278.1025L|0.307 0.288    |   5|   0
540 |2dFGRS TGS376Z063                  |G  |01 20 15.7945938535 -30 11 07.570615200|0.036480    |     ~|15.267|     ~|14.160|     ~|~              |E D 1996MNRAS.278.1025L|0.383 0.353    |  10|   0
541 |2dFGRS TGS376Z093                  |G  |01 19 16.9253442726 -30 04 03.215169283|0.0363      |     ~|16.295|     ~|15.049|     ~|~              |E D 1996MNRAS.278.1025L|0.277 0.205    |   3|   0
542 |2dFGRS TGS377Z165                  |G  |01 20 48.2053410446 -31 06 52.531687206|0.031295    |     ~|14.829|     ~|13.647|     ~|~              |E D ~                  |0.550 0.396    |  12|   0
543 |ESO 413-5                          |G  |01 25 37.1775893369 -30 21 55.729478472|0.030898    |     ~|14.17 |     ~|12.89 |     ~|~              |E D ~                  |0.580 0.464    |  12|   0
544 |2dFGRS TGS377Z055                  |G  |01 21 28.435 -30 27 44.79              |0.037072    |     ~|15.78 |     ~|14.655|     ~|~              |E D 1996MNRAS.278.1025L|0.323 0.272    |   7|   0
545 |2dFGRS TGS378Z009                  |G  |01 22 42.3590068368 -30 38 34.492498411|0.036774    |     ~|16.025|     ~|14.737|     ~|~              |E D 1996MNRAS.278.1025L|0.313 0.282    |   5|   0
546 |2dFGRS TGS377Z267                  |G  |01 23 06.3714380943 -30 58 35.925667890|0.036681    |     ~|15.797|     ~|15.080|     ~|~              |E D ~                  |0.413 0.215    |   8|   0
547 |2dFGRS TGS379Z068                  |G  |01 32 58.309 -30 04 57.27              |0.072784    |     ~|16.346|     ~|14.963|     ~|~              |E D ~                  |0.357 0.214    |   3|   0
548 |2MASX J01381471-2838063            |G  |01 38 14.7073764954 -28 38 06.844400154|0.030867    |     ~|16.18 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.377 0.211    |   6|   0
549 |2dFGRS TGS302Z034                  |G  |01 44 26.1937762447 -29 31 23.411094181|0.019691    |     ~|16.233|     ~|14.996|     ~|~              |E D 1996MNRAS.278.1025L|0.363 0.174    |   5|   0
550 |6dFGS gJ210816.0-231538            |G  |21 08 15.9862600724 -23 15 37.490318058|0.0383      |     ~|15.62 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.423 0.373    |   9|   0
551 |2MASX J21103569-2322149            |G  |21 10 35.6826203553 -23 22 15.035312308|0.03556     |     ~|16.09 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.340 0.320    |   6|   0
552 |6dFGS gJ211126.0-231247            |G  |21 11 25.9702768604 -23 12 46.949674393|0.039073    |     ~|16.18 |     ~|     ~|     ~|~              |E D ~                  |0.440 0.238    |  11|   0
553 |2MASX J21115772-2309358            |G  |21 11 57.7149971909 -23 09 36.149191940|0.03448     |     ~|15.81 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.473 0.246    |  12|   0
554 |6dFGS gJ211737.0-224734            |G  |21 17 36.987 -22 47 33.87              |0.02598     |     ~|15.82 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.337 0.256    |   7|   0
555 |2dFGRS TGS174Z162                  |G  |22 06 04.241 -27 42 04.02              |0.0925      |     ~|15.845|     ~|14.464|     ~|~              |E D 1996MNRAS.278.1025L|0.387 0.271    |   6|   0
556 |2dFGRS TGS174Z093                  |G  |22 09 13.0392623510 -27 34 02.872487069|0.023410    |     ~|15.953|     ~|14.687|     ~|~              |E D 1996MNRAS.278.1025L|0.357 0.214    |   6|   0
557 |2dFGRS TGS116Z300                  |G  |22 15 09.631 -26 01 17.87              |0.052600    |     ~|15.895|     ~|14.625|     ~|~              |E D 1996MNRAS.278.1025L|0.370 0.281    |   5|   0
558 |2dFGRS TGS176Z025                  |G  |22 16 36.6135212978 -27 27 15.083724997|0.0181      |     ~|16.427|     ~|15.241|     ~|~              |E D 1996MNRAS.278.1025L|0.283 0.204    |   3|   0
559 |2dFGRS TGS117Z208                  |G  |22 19 31.5836470506 -26 19 09.506639878|0.088615    |     ~|15.977|     ~|14.483|     ~|~              |E D 1996MNRAS.278.1025L|0.347 0.243    |   6|   0
560 |2dFGRS TGS118Z342                  |G  |22 21 10.591 -26 00 24.04              |0.0569      |     ~|15.470|     ~|14.562|     ~|~              |E D 1996MNRAS.278.1025L|0.443 0.310    |  11|   0
561 |2dFGRS TGS118Z162                  |G  |22 26 01.0864378592 -26 18 12.576197915|0.0635      |     ~|16.158|     ~|14.681|     ~|~              |E D 1996MNRAS.278.1025L|0.370 0.311    |   5|   0
562 |2dFGRS TGS257Z038                  |G  |22 34 00.0497698208 -28 57 00.012273461|0.027167    |     ~|15.419|     ~|14.310|     ~|~              |E D 1996MNRAS.278.1025L|0.507 0.355    |   7|   0
563 |2dFGRS TGS257Z108                  |G  |22 30 04.9147972133 -28 28 05.077148556|0.027746    |     ~|15.399|     ~|14.253|     ~|~              |E D 1996MNRAS.278.1025L|0.443 0.364    |  11|   0
564 |ESO 468-13                         |G  |22 33 44.0815362013 -27 14 44.395769791|0.023086    |     ~|14.34 |     ~|13.71 |     ~|~              |E D ~                  |0.450 0.360    |  13|   0
565 |2dFGRS TGS180Z019                  |G  |22 35 08.108 -27 33 33.42              |0.0394      |     ~|15.740|     ~|14.500|     ~|~              |E D 1996MNRAS.278.1025L|0.403 0.307    |   5|   0
566 |2dFGRS TGS259Z039                  |G  |22 44 49.9082460305 -28 09 58.188050082|0.028197    |     ~|15.988|     ~|14.871|     ~|~              |E D 1996MNRAS.278.1025L|0.297 0.237    |   5|   0
567 |2dFGRS TGS182Z055                  |G  |22 45 17.4585913020 -27 52 31.403876058|0.036151    |     ~|15.746|     ~|14.583|     ~|~              |E D 1996MNRAS.278.1025L|0.313 0.269    |   5|   0
568 |2MASX J22525465-2843585            |G  |22 52 54.6903635361 -28 43 58.414704598|0.072356    |     ~|15.98 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.300 0.234    |   6|   0
569 |2MASX J22530613-2808253            |G  |22 53 06.130 -28 08 25.33              |0.07821     |     ~|16.42 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.407 0.317    |   7|   0
570 |2dFGRS TGS263Z160                  |G  |22 59 18.911 -28 31 20.34              |0.0287      |     ~|15.709|     ~|14.397|     ~|~              |E D 1996MNRAS.278.1025L|0.390 0.289    |   9|   0
571 |2MASX J23135077-2935054            |G  |23 13 50.7291092099 -29 35 05.744288444|0.029065    |     ~|16.17 |     ~|14.443|     ~|~              |E D 1996MNRAS.278.1025L|0.330 0.297    |   7|   0
572 |2dFGRS TGS265Z136                  |G  |23 07 38.9062744710 -28 32 33.508893011|0.032631    |     ~|16.094|     ~|14.784|     ~|~              |E D 1996MNRAS.278.1025L|0.337 0.276    |   5|   0
573 |2dFGRS TGS264Z051                  |G  |23 09 42.378 -28 57 26.01              |0.0874      |     ~|16.315|     ~|14.733|     ~|~              |E D 1996MNRAS.278.1025L|0.400 0.280    |   5|   0
574 |6dFGS gJ231451.0-285032            |G  |23 14 51.0175358151 -28 50 31.806953458|0.0820      |     ~|16.462|     ~|15.136|     ~|~              |E D 1996MNRAS.278.1025L|0.377 0.256    |   5|   0
575 |2dFGRS TGS189Z108                  |G  |23 18 02.5205627872 -28 10 30.234243324|0.082973    |     ~|15.74 |     ~|14.284|     ~|~              |E D 1996MNRAS.278.1025L|0.407 0.260    |   8|   0
576 |6dFGS gJ234147.1-305012            |G  |23 41 47.153 -30 50 12.10              |0.0287      |     ~|16.259|     ~|15.347|     ~|~              |E D 1996MNRAS.278.1025L|0.177 0.148    |   4|   0
577 |[EGT95] 234134.1-283435            |G  |23 44 09.56 -28 17 52.3                |0.027864    |     ~|15.53 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L| 0.82  0.42    |   2|   0
578 |2MASXI J2347355-280731             |G  |23 47 35.515 -28 07 31.59              |0.03104     |     ~|16    |     ~|15.29 |     ~|~              |E D ~                  |0.213 0.209    |  21|   0
579 |2dFGRS TGS274Z065                  |G  |23 53 20.962 -29 26 22.11              |0.028403    |     ~|16.25 |     ~|15.036|     ~|~              |E D 1996MNRAS.278.1025L|0.297 0.214    |   5|   0
580 |2dFGRS TGS357Z147                  |G  |23 57 38.0733238099 -29 43 46.056550502|0.0285      |     ~|16.363|12.52 |15.062|     ~|~              |E D 1996MNRAS.278.1025L|0.317 0.190    |   7|   0
581 |2dFGRS TGS276Z189                  |G  |23 58 20.8134678338 -29 46 01.067913299|0.0310      |     ~|15.798|11.42 |14.537|     ~|~              |E D 1996MNRAS.278.1025L|0.320 0.282    |   7|   0
582 |2dFGRS TGS276Z050                  |G  |23 59 01.882 -28 18 30.70              |0.062907    |     ~|16.012|12.02 |14.719|     ~|~              |E D ~                  |0.323 0.265    |   7|   0
583 |2dFGRS TGS355Z044                  |G  |23 52 25.129 -29 37 58.84              |0.044279    |     ~|15.697|     ~|14.489|     ~|~              |E D ~                  |0.440 0.255    |   6|   0
584 |MCG-05-01-025                      |G  |00 02 05.4631985625 -30 37 08.584265020|0.0300      |     ~|15.91 |11.70 |14.533|     ~|~              |E D 1996MNRAS.278.1025L|0.390 0.242    |  12|   0
585 |2dFGRS TGS359Z177                  |G  |00 05 22.6123852774 -30 33 48.819570291|0.026859    |     ~|16.142|12.47 |14.936|     ~|~              |E D 1996MNRAS.278.1025L|0.283 0.232    |   6|   0
586 |2MASX J00072582-2821112            |G  |00 07 25.8050419605 -28 21 10.597132401|0.063260    |     ~|15.94 |12.69 |     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.323 0.239    |   7|   0
587 |2dFGRS TGS281Z041                  |G  |00 23 07.748 -28 08 59.99              |0.061613    |     ~|15.860|     ~|14.567|     ~|~              |E D 1996MNRAS.278.1025L|0.453 0.281    |   6|   0
588 |2dFGRS TGS281Z018                  |G  |00 24 25.727 -28 15 56.53              |0.1088      |     ~|16.303|     ~|14.745|     ~|~              |E D 1996MNRAS.278.1025L|0.370 0.318    |   5|   0
589 |2MASX J00355334-2934002            |G  |00 35 53.3448404391 -29 34 00.021573409|0.05277     |     ~|     ~|     ~|     ~|     ~|~              |E D ~                  |0.243 0.234    |   3|   0
590 |MCG-05-02-029                      |G  |00 36 59.079 -29 32 59.34              |0.0116      |     ~|16.21 |     ~|15.204|     ~|~              |E D 1996MNRAS.278.1025L|0.273 0.153    |   3|   0
591 |6dFGS gJ003937.8-285422            |G  |00 39 37.808 -28 54 22.32              |0.111817    |     ~|16.855|     ~|15.427|     ~|~              |E D ~                  |0.283 0.181    |   4|   0
592 |2MASX J00425365-2828097            |G  |00 42 53.6212597277 -28 28 10.074613115|0.086236    |     ~|16.35 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.297 0.231    |   7|   0
593 |2dFGRS TGS367Z096                  |G  |00 41 07.1746953040 -29 50 32.385082915|0.023605    |     ~|16.076|     ~|14.779|     ~|~              |E D ~                  |0.333 0.273    |   7|   0
594 |MCG-05-03-028                      |G  |01 08 50.7052760673 -28 35 56.581752907|0.018653    |     ~|15.63 |     ~|13.994|     ~|~              |E D 1996MNRAS.278.1025L|0.447 0.375    |  11|   0
595 |2dFGRS TGS294Z006                  |G  |01 16 50.5392028028 -28 38 48.937927294|0.064403    |     ~|16.43 |     ~|15.168|     ~|~              |E D 1996MNRAS.278.1025L|0.300 0.204    |   5|   0
596 |2dFGRS TGS215Z089                  |G  |01 18 32.445 -28 10 03.20              |0.0318      |     ~|15.921|     ~|15.101|     ~|~              |E D 1996MNRAS.278.1025L|0.333 0.207    |   3|   0
597 |2dFGRS TGS295Z152                  |G  |01 20 58.2246378644 -29 12 48.524139202|0.0367      |     ~|16.324|     ~|15.075|     ~|~              |E D 1996MNRAS.278.1025L|0.300 0.246    |   5|   0
598 |2MASX J01203614-2900373            |G  |01 20 36.143 -29 00 37.39              |0.0581      |     ~|16.174|     ~|14.857|     ~|~              |E D 1996MNRAS.278.1025L|0.310 0.291    |   5|   0
599 |2dFGRS TGS296Z230                  |G  |01 22 55.3895325570 -27 59 33.921009723|0.053500    |     ~|16.155|     ~|14.728|     ~|~              |E D 1996MNRAS.278.1025L|0.307 0.264    |   6|   0
600 |6dFGS gJ012511.0-271448            |G  |01 25 10.956 -27 14 48.50              |0.031098    |     ~|15.369|     ~|15.320|     ~|~              |E D 2006MNRAS.370.1213C|0.423 0.347    |  12|   0
601 |2MASX J01214225-2755064            |G  |01 21 42.2246687312 -27 55 07.016306366|0.084290    |     ~|17.04 |     ~|15.71 |     ~|~              |E D ~                  |0.217 0.178    |   3|   0
602 |2MASX J21280511-2229325            |G  |21 28 05.1060111432 -22 29 32.541526735|0.05303     |     ~|16.17 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.303 0.243    |   3|   0
603 |6dFGS gJ212321.0-201254            |G  |21 23 21.013 -20 12 54.19              |0.06340     |     ~|15.50 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.447 0.304    |   8|   0
604 |2MASX J21382005-2119059            |G  |21 38 20.0444514112 -21 19 06.201032866|0.03457     |     ~|15.90 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.410 0.377    |  16|   0
605 |2dFGRS TGS002Z232                  |G  |21 54 14.1792971944 -23 29 03.274411415|0.0321      |     ~|15.831|     ~|14.520|     ~|~              |E D 1996MNRAS.278.1025L|0.343 0.309    |   8|   0
606 |2dFGRS TGS059Z086                  |G  |22 01 11.8803301152 -24 21 28.880018453|0.017582    |     ~|15.714|     ~|14.519|     ~|~              |E D 1996MNRAS.278.1025L|0.327 0.209    |   4|   0
607 |ICRF J221446.4-252116              |G  |22 14 46.40175918 -25 21 16.0952596    |0.0870      |     ~|17.802|17.5  |17.692|     ~|~              |E D ~                  |0.163 0.163    |  10|   1
608 |2dFGRS TGS061Z208                  |G  |22 08 43.9499408567 -24 06 26.848331005|0.055648    |     ~|16.168|     ~|14.789|     ~|~              |E D 1996MNRAS.278.1025L|0.357 0.214    |  10|   0
609 |MCG-04-52-038                      |G  |22 21 53.5086479048 -25 35 25.006690946|0.022822    |     ~|15.64 |     ~|13.821|     ~|~              |E D 1996MNRAS.278.1025L|0.433 0.347    |  12|   0
610 |MCG-04-52-037                      |G  |22 21 52.7131076201 -25 34 33.081580401|0.022766    |     ~|15.80 |     ~|14.006|     ~|~              |E D 1996MNRAS.278.1025L|0.423 0.381    |  12|   0
611 |MCG-04-52-039                      |G  |22 22 10.290 -23 36 05.97              |0.038407    |     ~|15.83 |     ~|13.962|     ~|~              |E D 1996MNRAS.278.1025L|0.460 0.405    |  11|   0
612 |2dFGRS TGS064Z167                  |G  |22 28 27.971 -24 27 39.61              |0.0798      |     ~|15.982|     ~|14.583|     ~|~              |E D 1996MNRAS.278.1025L|0.387 0.325    |   7|   0
613 |MCG-04-53-019                      |G  |22 36 22.354 -24 20 48.65              |0.030093    |     ~|15.78 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.523 0.314    |  11|   0
614 |2MASX J22422649-2455335            |G  |22 42 26.492 -24 55 33.51              |0.04637     |     ~|15.78 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.367 0.293    |   5|   0
615 |2dFGRS TGS121Z073                  |G  |22 43 13.1377718750 -25 49 33.065462898|0.041582    |     ~|15.423|     ~|14.174|     ~|~              |E D 1996MNRAS.278.1025L|0.450 0.360    |  10|   0
616 |2dFGRS TGS126Z090                  |G  |23 17 57.3565869968 -25 21 43.067521115|0.032831    |     ~|15.939|     ~|15.138|     ~|~              |E D ~                  |0.240 0.187    |   5|   0
617 |2dFGRS TGS127Z050                  |G  |23 25 23.7419904621 -25 20 15.220235109|0.028947    |     ~|15.488|     ~|14.255|     ~|~              |E D 1996MNRAS.278.1025L|0.447 0.339    |  10|   0
618 |2dFGRS TGS192Z106                  |G  |23 31 41.1056921107 -27 31 04.883167453|0.052685    |     ~|16.418|     ~|14.949|     ~|~              |E D 1996MNRAS.278.1025L|0.337 0.290    |   5|   0
619 |2dFGRS TGS191Z140                  |G  |23 31 36.6355443890 -27 12 00.230348542|0.055643    |     ~|15.830|     ~|14.511|     ~|~              |E D 1996MNRAS.278.1025L|0.490 0.274    |   9|   0
620 |2dFGRS TGS132Z334                  |G  |23 48 30.8170210194 -26 02 32.439695603|0.082708    |     ~|16.35 |     ~|15.024|     ~|~              |E D 1996MNRAS.278.1025L|0.303 0.231    |   6|   0
621 |2MASX J23443256-2609145            |G  |23 44 32.5369160662 -26 09 14.581477003|0.050582    |     ~|15.42 |     ~|     ~|     ~|~              |E D ~                  |0.470 0.338    |  10|   0
622 |2dFGRS TGS131Z262                  |G  |23 47 39.024 -26 44 43.58              |0.0644      |     ~|16.243|     ~|14.993|     ~|~              |E D 1996MNRAS.278.1025L|0.307 0.288    |   5|   0
623 |2MASX J23544576-2803334            |G  |23 54 45.7717822235 -28 03 33.198037529|0.05049     |     ~|15.89 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.377 0.294    |   9|   0
624 |2dFGRS TGS197Z172                  |G  |23 52 26.1043551162 -27 38 20.501320995|0.029417    |     ~|16.083|     ~|14.783|     ~|~              |E D 1996MNRAS.278.1025L|0.393 0.220    |   7|   0
625 |2dFGRS TGS196Z006                  |G  |23 55 23.6278888065 -27 15 43.037571512|0.0720      |     ~|15.944|     ~|14.682|     ~|~              |E D 1996MNRAS.278.1025L|0.347 0.236    |   5|   0
626 |6dFGS gJ000110.8-270114            |G  |00 01 10.848 -27 01 12.63              |0.026955    |     ~|16.23 |     ~|15.421|     ~|~              |E D 1996MNRAS.278.1025L|0.210 0.185    |   5|   0
627 |2dFGRS TGS200Z282                  |G  |00 02 55.836 -26 54 50.57              |0.0665      |     ~|16.301|     ~|14.936|     ~|~              |E D 1996MNRAS.278.1025L|0.330 0.257    |   7|   0
628 |2MASX J00025770-2657245            |G  |00 02 57.6772444374 -26 57 24.564816026|0.064111    |     ~|16.267|     ~|14.850|     ~|~              |E D ~                  |0.303 0.237    |   7|   0
629 |2dFGRS TGS199Z056                  |G  |00 04 40.216 -27 21 49.05              |0.0629      |     ~|16.162|     ~|14.834|     ~|~              |E D 1996MNRAS.278.1025L|0.317 0.247    |   5|   0
630 |2dFGRS TGS199Z006                  |G  |00 07 06.2705398153 -27 45 41.670557924|0.0604      |     ~|16.247|     ~|14.976|     ~|~              |E D 1996MNRAS.278.1025L|0.320 0.205    |   5|   0
631 |2MASX J00070925-2550122            |G  |00 07 09.258 -25 50 12.27              |0.06329     |     ~|15.91 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.317 0.272    |   5|   0
632 |2dFGRS TGS280Z121                  |G  |00 15 11.2989131545 -28 01 31.723123908|0.0551      |     ~|16.092|     ~|14.890|     ~|~              |E D 1996MNRAS.278.1025L|0.407 0.228    |   5|   0
633 |2MASX J00115036-2518433            |G  |00 11 50.361 -25 18 43.34              |0.06464     |     ~|16.41 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.333 0.273    |   6|   0
634 |2dFGRS TGS136Z020                  |G  |00 12 07.7698348312 -25 25 29.617768153|0.0636      |     ~|16.252|     ~|15.272|     ~|~              |E D 1996MNRAS.278.1025L|0.283 0.204    |   3|   0
635 |2dFGRS TGS202Z195                  |G  |00 12 09.7652643306 -27 09 40.699036344|0.0342      |     ~|16.032|     ~|14.868|     ~|~              |E D 1996MNRAS.278.1025L|0.300 0.252    |   5|   0
636 |MCG-05-02-002                      |G  |00 19 21.2761988479 -26 41 33.564675907|0.0350      |     ~|16.15 |     ~|14.481|     ~|~              |E D 1996MNRAS.278.1025L|0.373 0.269    |   6|   0
637 |MCG-05-02-001                      |G  |00 19 19.1783821267 -26 42 36.425578279|0.037190    |     ~|15.52 |     ~|14.260|     ~|~              |E D 1996MNRAS.278.1025L|0.437 0.323    |   5|   0
638 |2MASX J00164135-2651132            |G  |00 16 41.357 -26 51 13.30              |0.055578    |     ~|15.506|     ~|15.432|     ~|~              |E D 1996MNRAS.278.1025L|0.450 0.261    |   8|   0
639 |2MASX J00162582-2707047            |G  |00 16 25.8492641393 -27 07 04.380705725|0.05600     |     ~|15.65 |     ~|     ~|     ~|~              |E D 1996MNRAS.278.1025L|0.367 0.293    |   9|   0
640 |2dFGRS TGS203Z075                  |G  |00 19 07.1931559713 -27 39 48.719623497|0.057343    |     ~|16.209|     ~|14.923|     ~|~              |E D ~                  |0.193 0.139    |   2|   0
641 |6dFGS gJ002304.2-275537            |G  |00 23 04.19 -27 55 37.7                |0.005145    |     ~|15.95 |     ~|15.6  |15.8  |~              |E D 1996MNRAS.278.1025L| 0.85  0.37    |  12|   0
642 |2dFGRS TGS205Z142                  |G  |00 25 52.9191371758 -27 29 30.774079734|0.075976    |     ~|16.150|     ~|14.882|     ~|~              |E D ~                  |0.403 0.250    |   6|   0
