identifier,typ,redshift,Mag U,Mag B,Mag V,Mag R,Mag I,bib,note,MorphType,RA,Dec,Ang_maj_amin,Ang_min_amin,ang_diam_dist,EstDist_Mpc,length_maj,velocity_km_s,RA_deg,Dec_deg
MCG-06-06-006                      ,G  ,0.021291,~,15.47,~,13.666,~,9,0,E,22:06.8,-34:25:59.286982367,0.447,0.375,91.80465211,157.9847936,38933.56791,6281.223722,35.52822431,-34.43313527
MCG-06-06-012                      ,G  ,0.021765,~,15.57,~,13.258,~,10,0,E,32:19.4,-33:12:09.159786900,0.543,0.456,93.79451267,130.0537804,48320.25898,6418.810982,38.08089249,-33.20254439
MCG-05-50-013                      ,G  ,0.039982,~,15.37,~,~,~,10,0,E,20:49.7,-30:31:41.929946386,0.493,0.326,168.5542873,143.243819,78838.56581,11635.96238,320.207168,-30.52831387
2MASX J21195306-3046199            ,G  ,0.03908,~,15.99,~,~,~,9,0,E,19:53.1,-30:46:20.334621239,0.353,0.304,164.9300068,200.0543987,55236.52829,11380.80981,319.9710987,-30.77231517
2MASX J21334526-3316329            ,G  ,0.02946,~,16.1,~,~,~,3,0,E,33:45.3,-33:16:33.178549412,0.387,0.186,125.7784277,182.4785601,46181.61527,8639.209323,323.43875,-33.27588293
2MASX J21413439-3357006            ,G  ,0.081295,~,16.02,~,~,~,10,0,E,41:34.4,-33:57:00.473460299,0.457,0.301,326.3705296,154.5277959,141507.3926,22993.29433,325.3933235,-33.95013152
2MASX J21342325-3217480            ,G  ,0.04264,~,15.85,~,~,~,5,0,E,34:23.3,-32:17:48.022547042,0.353,0.219,179.1882815,200.0543987,60011.75148,12385.9707,323.5970145,-32.29667293
6dFGS gJ213854.8-322212            ,G  ,0.03191,~,15.99,~,~,~,3,0,E,38:54.8,-32:22:11.8,0.6,0.37,135.8365321,117.6986712,77324.98214,9341.001248,324.7284167,-32.36994444
2MASX J21451165-3414149            ,G  ,0.02003,~,15.63,~,~,~,8,0,E,45:11.7,-34:14:14.552168124,0.423,0.271,86.49972044,166.9484698,34714.1922,5914.729688,326.2985807,-34.2373756
2MASX J21451963-3414269            ,G  ,0.07103,~,16.25,~,~,~,6,0,E,45:19.6,-34:14:27.095131999,0.407,0.285,288.6099793,173.5115547,111444.2704,20229.15258,326.3317265,-34.24085976
2MASX J21470340-3413305            ,G  ,0.065294,~,16.48,~,15.09,~,5,0,E,47:03.4,-34:13:30.639241712,0.32,0.288,267.1011956,220.6850086,81091.961,18668.44306,326.7641163,-34.22517757
2MASX J21483875-3221337            ,G  ,0.10292,~,16.43,~,~,~,3,0,E,48:38.8,-32:21:33.76,0.43,0.284,402.9521748,164.2307041,164389.4537,28700.66258,327.1615,-32.35937778
2MASX J21505083-3333345            ,G  ,0.00861,~,15.67,~,~,~,4,0,E,50:50.8,-33:33:34.449370209,0.347,0.284,37.70391088,203.5135526,12412.74597,2564.323476,327.7116706,-33.55956927
2dFGRS TGS477Z186                  ,G  ,0.0378,~,16.131,~,14.888,~,5,0,E,54:03.0,-33:12:17.00,0.313,0.269,159.7732707,225.6204561,47446.09298,11018.17507,328.512575,-33.20472222
2dFGRS TGS477Z100                  ,G  ,0.0086,~,16.134,~,15.357,~,3,0,E,57:09.8,-33:28:44.17,0.253,0.172,37.6605812,279.1272836,9039.814768,2561.36455,329.2908625,-33.47893611
6dFGS gJ220725.3-332252            ,G  ,0.009053,~,14.87,~,~,~,6,0,E,07:25.3,-33:22:51.38,0.467,0.289,39.6223493,151.2188496,17555.33395,2695.359186,331.855225,-33.38093889
2dFGRS TGS530Z001                  ,G  ,0.027883,~,15.882,~,14.671,~,9,0,E,14:51.6,-34:05:37.047598378,0.443,0.239,119.2724853,159.4112929,50129.8018,8186.176778,333.7150755,-34.09362433
2dFGRS TGS529Z107                  ,G  ,0.028101,~,15.567,~,14.286,~,9,0,E,11:39.1,-34:06:19.097701599,0.397,0.286,120.1733375,177.8821228,45263.75942,8248.864006,332.9128204,-34.10530492
2dFGRS TGS529Z115                  ,G  ,0.058744,~,15.95,~,14.832,~,6,0,E,11:39.6,-35:17:54.156184835,0.29,0.249,242.1745289,243.5144922,66631.32567,16871.71411,332.9149468,-35.29837672
2MASX J22084238-3501270            ,G  ,0.031458,~,15.72,~,~,~,7,0,E,08:42.4,-35:01:26.808137293,0.307,0.27,133.9854226,230.0299764,39025.44988,9211.712936,332.1768131,-35.02411337
2MASX J22273590-3656341            ,G  ,0.030207,~,16.37,~,15.59,~,3,0,E,27:35.9,-36:56:34.12,0.257,0.164,128.851481,274.7828901,31417.71026,8853.445448,336.8995958,-36.94281111
2dFGRS TGS531Z109                  ,G  ,0.061058,~,15.856,~,14.59,~,6,0,E,26:10.4,-34:43:06.550895433,0.317,0.279,251.0256149,222.7735102,75496.93039,17508.25949,336.5431362,-34.71848636
2dFGRS TGS531Z003                  ,G  ,0.02856,~,16.161,~,14.961,~,6,0,E,29:01.5,-35:20:28.398769448,0.363,0.218,122.0685225,194.5432582,42039.9611,8380.787888,337.2562308,-35.34122188
2dFGRS TGS532Z266                  ,G  ,0.060732,~,16.11,~,15.025,~,6,0,E,30:38.2,-35:24:49.47,0.287,0.229,249.781643,246.0599399,68013.38766,17418.70115,337.6589958,-35.41374167
2MASX J22340831-3614298            ,G  ,0.0592,~,16.43,~,~,~,3,0,E,34:08.3,-36:14:29.84,0.287,0.252,243.9226414,246.0599399,66418.03204,16997.30872,338.5346375,-36.24162222
6dFGS gJ223433.3-355804            ,G  ,0.05821,~,16.41,~,~,~,3,0,E,34:33.3,-35:58:04.8,0.67,0.28,240.124954,105.4017951,152638.5001,16724.53847,338.6385417,-35.968
2dFGRS TGS533Z094                  ,G  ,0.093664,~,15.392,~,14.221,~,9,0,E,35:51.7,-34:50:49.270429258,0.39,0.343,370.6561905,181.0748788,137147.4879,26276.47204,338.965605,-34.84701956
2MASX J22434390-3735074            ,G  ,0.03637,~,16.23,~,~,~,5,0,E,43:43.9,-37:35:07.177560774,0.34,0.279,153.9932499,207.7035375,49674.39586,10612.26955,340.9330637,-37.5853271
2MASX J22440443-3741454            ,G  ,0.03633,~,16.22,~,~,~,5,0,E,44:04.4,-37:41:45.42,0.323,0.181,153.8312823,218.6353026,47141.04168,10600.90376,341.0184625,-37.69595
2MASX J23125014-3710127            ,G  ,0.03639,~,16.39,~,~,~,8,0,E,12:50.2,-37:10:12.470490583,0.303,0.243,154.0742278,233.0666757,44291.93162,10617.9522,348.209004,-37.17013069
MCG-06-51-004                      ,G  ,0.053284,~,16.02,~,~,~,12,0,E,23:13.2,-37:50:25.81,0.49,0.412,221.0932259,144.1208219,102783.5252,15361.875,350.8048083,-37.84050278
2MASX J23203417-3615553            ,G  ,0.0597,~,16.02,~,~,~,8,0,E,20:34.2,-36:15:55.39,0.373,0.306,245.8372253,189.3276213,86997.83994,17134.93389,350.1423958,-36.26538611
6dFGS gJ232059.0-361305            ,G  ,0.06121,~,16.22,~,~,~,5,0,E,20:59.0,-36:13:04.847338239,0.347,0.257,251.6052926,203.5135526,82832.58973,17550.00343,350.2460087,-36.21801315
2MASX J23284849-3814248            ,G  ,0.036653,~,15.67,~,~,~,12,0,E,28:48.5,-38:14:24.405122094,0.45,0.36,155.1387215,156.9315617,66234.56895,10692.66417,352.2020099,-38.24011253
MCG-06-51-015                      ,G  ,0.05336,~,15.45,~,~,~,12,0,E,37:49.0,-37:13:34.95,0.427,0.401,221.3885751,165.3845498,89688.15136,15382.96774,354.4543167,-37.226375
MCG-07-48-019                      ,G  ,0.04267,~,15.47,~,~,~,11,0,E,45:23.2,-38:20:11.75,0.51,0.357,179.3079134,138.469025,86760.41591,12394.41993,356.3465583,-38.33659722
MCG-07-48-023                      ,G  ,0.043603,~,15.68,~,~,~,10,0,E,48:10.2,-38:24:44.70,0.537,0.472,183.0241304,131.5068952,93246.9489,12657.01479,357.0425125,-38.41241667
2MASX J23422921-3852461            ,G  ,0.04186,~,16.07,~,~,~,4,0,E,42:29.2,-38:52:46.18,0.297,0.178,176.074796,237.7750934,49614.15917,12166.16668,355.6217333,-38.87949444
2MASX J23443314-3758264            ,G  ,0.03203,~,16.09,~,~,~,6,0,E,44:33.1,-37:58:26.106372691,0.317,0.253,136.3276353,222.7735102,41001.06676,9375.311552,356.1379681,-37.97391844
2MASX J23453205-3736247            ,G  ,0.053636,~,15.98,~,~,~,6,0,E,45:32.1,-37:36:24.977050412,0.39,0.281,222.4607034,181.0748788,82313.27958,15459.54939,356.3836791,-37.60693807
2MASX J23542038-3704353            ,G  ,0.05788,~,16.43,~,~,~,5,0,E,54:20.4,-37:04:35.39,0.343,0.22,238.8570435,205.8868885,77729.19409,16633.53442,358.5849292,-37.07649722
MCG-06-01-032                      ,G  ,0.023239,~,14.87,~,~,~,10,0,E,10:06.9,-36:46:30.237148812,0.547,0.47,99.96769624,129.1027472,51879.88475,6846.05827,2.528592568,-36.77506587
MCG-06-01-035                      ,G  ,0.050735,~,15.78,~,~,~,16,0,E,13:19.7,-37:30:52.05,0.52,0.385,211.1559099,135.8061591,104173.8169,14653.16927,3.331916667,-37.51445833
2MASX J00185248-3740239            ,G  ,0.0449,~,16.34,~,~,~,6,0,E,18:52.5,-37:40:24.251614645,0.303,0.146,188.1762582,233.0666757,54095.28953,13021.4929,4.718628831,-37.67340323
2MASX J00341621-3753138            ,G  ,0.03061,~,16.02,~,~,~,8,0,E,34:16.3,-37:53:13.266809477,0.323,0.265,130.5070475,218.6353026,39993.41404,8968.928662,8.567744076,-37.88701856
2MASX J00355844-3750422            ,G  ,0.064663,~,16.43,~,~,~,6,0,E,35:58.4,-37:50:42.27,0.307,0.209,264.7169277,230.0299764,77103.14296,18496.03361,8.9935,-37.845075
2MASX J00403677-3652360            ,G  ,0.03456,~,15.85,~,~,~,8,0,E,40:36.7,-36:52:35.818595936,0.53,0.223,146.6484369,133.2437788,73740.36793,10097.32237,10.15311292,-36.87661628
AM 0038-372                        ,G  ,0.03596,~,16.3,~,~,~,8,0,E,40:39.2,-37:13:16.800018332,0.287,0.201,152.3323356,246.0599399,41478.78152,10495.73968,10.16321038,-37.22133334
MCG-06-03-004                      ,G  ,0.046725,~,15.41,~,~,~,13,0,E,54:36.7,-35:51:06.245246864,0.383,0.345,195.398441,184.3843414,71002.20902,13533.23949,13.65294985,-35.85173479
MCG-06-03-011                      ,G  ,0.04053,~,15.68,~,~,~,9,0,E,56:07.9,-36:09:48.777822367,0.383,0.314,170.7523095,184.3843414,62046.50924,11790.81991,14.03302177,-36.1635494
6dFGS gJ005532.0-372424            ,G  ,0.05559,~,16.29,~,~,~,3,0,E,55:32.0,-37:24:23.988700085,0.313,0.251,230.0306712,225.6204561,68309.65259,16000.906,13.88329756,-37.40666353
2MASX J00574364-3733432            ,G  ,0.058303,~,15.59,~,~,~,9,0,E,57:43.6,-37:33:43.090896204,0.39,0.367,240.4820921,181.0748788,88981.42182,16750.17777,14.4318495,-37.56196969
2MASX J01015406-3730308            ,G  ,0.049929,~,16.22,~,~,~,12,0,E,01:54.1,-37:30:30.84,0.327,0.314,208.000952,215.9608647,64530.5056,14428.56092,15.4752625,-37.50856667
2MASX J01004555-3622109            ,G  ,0.039965,~,15.83,~,~,~,10,0,E,00:45.6,-36:22:10.92,0.383,0.268,168.4860537,184.3843414,61223.01664,11631.1565,15.18983333,-36.3697
2MASX J01141784-3507112            ,G  ,0.031615,~,15.89,~,~,~,5,0,E,14:17.8,-35:07:11.762346390,0.407,0.203,134.6286272,173.5115547,51985.69076,9256.630071,18.57421088,-35.11993399
2dFGRS TGS620Z092                  ,G  ,0.0666,~,16.42,~,15.066,~,7,0,E,15:59.2,-35:55:01.89,0.31,0.285,272.0245125,227.8038798,80005.84692,19024.82802,18.99667917,-35.91719167
2MASX J01173916-3559283            ,G  ,0.05056,~,16.38,~,~,~,7,0,E,17:39.1,-35:59:27.949026185,0.293,0.229,210.4714225,241.0211698,58507.66273,14604.42301,19.41300317,-35.99109695
2MASX J01162918-3736346            ,G  ,0.07581,~,15.98,~,~,~,5,0,E,16:29.2,-37:36:34.278701871,0.317,0.272,306.3091394,222.7735102,92123.66551,21520.85117,19.1216895,-37.60952186
2dFGRS TGS564Z049                  ,G  ,0.0325,~,16.14,~,14.921,~,7,0,E,19:37.2,-34:58:56.138396255,0.367,0.249,138.2497432,192.4228958,48137.37347,9509.636985,19.90502103,-34.98226067
MCG-06-04-036                      ,G  ,0.035549,~,15.5,~,13.792,~,11,0,E,27:05.1,-35:36:24.229487554,0.517,0.382,150.6657095,136.5942026,73902.13013,10378.85771,21.77113642,-35.60673041
2dFGRS TGS566Z058                  ,G  ,0.1811,~,16.106,~,15.007,~,8,0,E,24:35.9,-34:54:21.882866784,0.317,0.196,649.2983928,222.7735102,195279.018,48184.19594,21.14949939,-34.90607857
MCG-06-04-040                      ,G  ,0.035331,~,15.99,~,~,~,11,0,E,30:04.1,-35:56:56.403049843,0.41,0.312,149.7810327,172.2419579,58262.97675,10316.83429,22.51706215,-35.94900085
ESO 353-8                          ,G  ,0.019507,~,15.57,~,14.64,~,6,0,E,31:10.4,-36:37:17.20,0.253,0.198,84.29469918,279.1272836,20233.58223,5762.527144,22.79349167,-36.62144444
MCG-06-04-064                      ,G  ,0.02951,~,16.15,~,~,~,9,0,E,40:20.9,-35:48:56.372971807,0.407,0.293,125.9842952,173.5115547,48647.75604,8653.556267,25.08725543,-35.81565916
2MASX J01391757-3617344            ,G  ,0.029454,~,15.49,~,~,~,12,0,E,39:17.6,-36:17:34.562917645,0.557,0.234,125.7537219,126.7849241,66455.05705,8637.48762,24.82329192,-36.29293414
6dFGS gJ014124.1-350032            ,G  ,0.02978,~,16.36,~,~,~,4,0,E,41:24.1,-35:00:31.85,0.173,0.118,127.0955471,408.2034841,20860.67852,8731.011964,25.3505375,-35.00884722
2MASX J01422972-3619412            ,G  ,0.0692,~,16.29,~,~,~,5,0,E,42:29.7,-36:19:41.824666531,0.293,0.258,281.7800297,241.0211698,78330.30605,19732.50228,25.6238224,-36.32828463
2MASX J01440751-3611268            ,G  ,0.028121,~,16.25,~,~,~,12,0,E,44:07.5,-36:11:27.090648872,0.3,0.294,120.2559605,235.3973425,34227.86879,8254.614141,26.03128865,-36.19085851
2dFGRS TGS510Z029                  ,G  ,0.0291,~,15.953,~,15.189,~,3,0,E,44:17.9,-33:44:58.43,0.3,0.174,124.2954412,235.3973425,35377.60654,8535.880886,26.07438333,-33.74956389
2MASX J01455743-3449112            ,G  ,0.070708,~,16.25,~,~,~,6,0,E,45:57.4,-34:49:11.26,0.343,0.254,287.4103809,205.8868885,93529.48924,20141.84986,26.48929583,-34.81979444
2dFGRS TGS570Z019                  ,G  ,0.0609,~,16.313,~,15.27,~,3,0,E,49:46.2,-35:20:15.281292459,0.263,0.242,250.4228302,268.5140789,62485.8469,17464.85879,27.44251697,-35.33757814
2dFGRS TGS570Z172                  ,G  ,0.0334,~,15.767,~,14.542,~,9,0,E,54:18.3,-35:40:25.494590749,0.38,0.296,141.9242498,185.8400072,51167.26415,9766.604733,28.57643596,-35.6737485
2dFGRS TGS463Z189                  ,G  ,0.076517,~,15.877,~,14.495,~,9,0,E,28:25.2,-32:05:10.82,0.437,0.306,308.9098105,161.6000063,128075.2259,21711.22675,37.10516667,-32.08633889
6dFGS gJ210810.0-262413            ,G  ,0.035134,~,15.52,~,~,~,12,0,E,08:10.0,-26:24:13.449862466,0.547,0.361,148.9811739,129.1027472,77316.23738,10260.76912,317.0414704,-26.40373607
2MASX J21091829-2711064            ,G  ,0.03429,~,15.49,~,14.28,~,9,0,E,09:18.3,-27:11:06.075719966,0.413,0.364,145.5500306,170.9908057,57031.44104,10020.39367,317.3261085,-27.18502103
2MASX J21124849-2630292            ,G  ,0.08371,~,15.75,~,~,~,5,0,E,12:48.5,-26:30:29.21,0.393,0.315,335.1202427,179.6926278,124952.5733,23638.34003,318.2020583,-26.50811389
2MASX J21212233-2721266            ,G  ,0.050557,~,15.49,~,~,~,7,0,E,21:22.3,-27:21:26.69,0.51,0.377,210.459686,138.469025,101833.5975,14603.58726,320.34305,-27.35741389
2MASX J21310108-2805336            ,G  ,0.09909,~,16.2,~,~,~,6,0,E,31:01.1,-28:05:33.69,0.367,0.301,389.6748027,192.4228958,135681.4202,27700.88795,322.7545167,-28.09269167
2MASX J21373182-3102033            ,G  ,0.02979,~,16.31,~,~,~,9,0,E,37:31.8,-31:02:03.101360418,0.393,0.267,127.1366905,179.6926278,47404.04972,8733.880117,324.3824951,-31.03419482
MCG-05-51-004                      ,G  ,0.02014,~,15.64,~,~,~,13,0,E,37:31.0,-29:26:40.515390231,0.47,0.291,86.96313305,150.2536229,38777.96624,5946.726818,324.3792379,-29.44458761
MCG-05-51-006                      ,G  ,0.02348,~,16.01,~,~,~,7,0,E,39:10.8,-29:50:03.627862323,0.373,0.254,100.974905,189.3276213,35733.39479,6915.826147,324.7949909,-29.83434107
2MASX J22083357-3035210            ,G  ,0.062423,~,15.86,~,~,~,6,0,E,08:33.6,-30:35:21.03,0.363,0.283,256.223681,194.5432582,88242.51626,17882.82812,332.1398917,-30.589175
2dFGRS TGS531Z097                  ,G  ,0.061058,~,16.154,~,14.957,~,6,0,E,26:27.2,-34:07:55.335414502,0.42,0.185,251.0256149,168.1409589,100027.4788,17508.25949,336.6134808,-34.13203762
2dFGRS TGS480Z155                  ,G  ,0.0146,~,16.305,~,15.709,~,3,0,E,20:11.0,-32:49:39.9,0.67,0.25,63.46834692,105.4017951,40344.46698,4328.767743,335.046,-32.82775
6dFGS gJ222925.9-330117            ,G  ,0.028793,~,15.723,~,14.859,~,6,0,E,29:25.9,-33:01:16.34,0.357,0.207,123.0297559,197.8128928,41670.65922,8447.722425,337.3579083,-33.02120556
6dFGS gJ222250.7-320352            ,G  ,0.027392,~,15.663,~,14.742,~,5,0,E,22:50.7,-32:03:52.45,0.327,0.261,117.2417486,215.9608647,36373.24368,8044.914525,335.7112417,-32.06456944
2dFGRS TGS481Z041                  ,G  ,0.0392,~,16.02,~,15.125,~,4,0,E,31:59.0,-33:28:26.82,0.287,0.166,165.4126301,246.0599399,45040.43293,11414.77336,337.9959125,-33.47411667
MCG-06-50-025                      ,G  ,0.056809,~,15.87,~,14.462,~,11,0,E,05:10.1,-33:03:12.995849467,0.447,0.259,234.7351425,157.9847936,99549.16665,16337.90637,346.2919217,-33.05360996
2dFGRS TGS538Z033                  ,G  ,0.0386,~,16.246,~,15.021,~,2,0,E,09:49.4,-34:54:57.011698975,0.35,0.245,162.9981075,201.7691507,54125.58444,11244.89831,347.4560273,-34.91583658
6dFGS gJ233022.5-345651            ,G  ,0.053777,~,15.87,~,14.295,~,10,0,E,30:22.5,-34:56:51.027361979,0.457,0.393,223.0081455,154.5277959,96691.63828,15498.66155,352.5938812,-34.9475076
MCG-06-52-001                      ,G  ,0.03878,~,15.58,~,~,~,11,0,E,43:35.0,-36:16:24.565724700,0.483,0.338,163.7228334,146.2095295,75025.40961,11295.87587,355.8957012,-36.27349048
MCG-06-52-004                      ,G  ,0.042022,~,15.66,~,~,~,11,0,E,46:58.3,-35:47:40.64,0.543,0.391,176.7219273,130.0537804,91042.09885,12211.83796,356.7429208,-35.79462222
MCG-06-52-007                      ,G  ,0.04306,~,15.94,~,~,~,9,0,E,50:01.8,-35:40:51.52,0.46,0.313,180.8623378,153.520006,78932.88277,12504.22776,357.5072958,-35.68097778
ESO 408-37                         ,G  ,0.042643,~,14.78,~,13.42,~,17,0,E,49:57.7,-35:28:38.50,0.503,0.473,179.200245,140.3960293,85518.20501,12386.81564,357.490325,-35.47736111
2dFGRS TGS492Z190                  ,G  ,0.097448,~,16.647,~,15.297,~,3,0,E,48:51.0,-33:47:10.32,0.28,0.241,383.9453571,252.2114384,101995.1319,27270.83483,357.212525,-33.7862
2dFGRS TGS549Z359                  ,G  ,0.0464,~,16.28,15.53,14.77,~,4,0,E,55:48.5,-34:26:33.220409302,0.353,0.205,194.1146322,200.0543987,65010.7193,13442.20102,358.9521756,-34.44256122
MCG-06-01-006                      ,G  ,0.04777,~,15.91,~,15.52,~,12,0,E,56:27.7,-34:35:36.36,0.407,0.382,199.5195457,173.5115547,77042.76289,13825.6867,359.1156,-34.59343333
APMBGC 349+067+015                 ,G  ,0.04873,~,15.63,~,~,~,1,0,E,56:25.3,-35:03:47,0.58,0.53,203.2962723,121.7572461,111868.9087,14093.97569,359.1054167,-35.06305556
2MASX J23525729-3356371            ,G  ,0.05776,~,16.18,~,~,~,8,0,E,52:57.3,-33:56:37.358894386,0.363,0.276,238.3957351,194.5432582,82102.63564,16600.43203,358.2385567,-33.9437108
2dFGRS TGS547Z159                  ,G  ,0.051439,~,15.837,~,14.628,~,9,0,E,55:43.8,-34:09:31.318551434,0.333,0.313,213.9065826,212.0696779,67580.34046,14849.15077,358.9324922,-34.1586996
2dFGRS TGS548Z266                  ,G  ,0.049837,~,15.929,~,14.707,~,5,0,E,56:01.7,-35:32:09.135773376,0.313,0.295,207.6404419,225.6204561,61660.67496,14402.90748,359.0072646,-35.53587105
2MASX J23570443-3602399            ,G  ,0.046816,~,16.12,~,~,~,6,0,E,57:04.4,-36:02:40.427790120,0.413,0.298,195.7577266,170.9908057,76704.52004,13558.72294,359.2683811,-36.04456328
6dFGS gJ235711.6-352116            ,G  ,0.051872,~,16.192,~,15.275,~,4,0,E,57:11.5,-35:21:16.12,0.233,0.229,215.5960807,303.0867071,47659.42244,14969.59698,359.2980333,-35.35447778
2dFGRS TGS548Z073                  ,G  ,0.051102,~,15.388,~,14.141,~,10,0,E,59:27.3,-35:10:57.94,0.377,0.331,212.590438,187.3188402,76039.11776,14755.35929,359.8635875,-35.18276111
2MASX J23514878-3455460            ,G  ,0.03321,~,16.31,~,~,~,10,0,E,51:48.8,-34:55:46.08,0.43,0.198,141.1491901,164.2307041,57583.60346,9712.383425,357.9532792,-34.92946667
2MASX J23561867-3422293            ,G  ,0.05713,~,16.29,~,~,~,5,0,E,56:18.7,-34:22:28.999721515,0.31,0.273,235.9716753,227.8038798,69402.25186,16426.55673,359.077868,-34.37472214
2dFGRS TGS548Z250                  ,G  ,0.04691,~,15.638,~,14.402,~,10,0,E,56:23.6,-34:31:30.901790101,0.317,0.298,196.1287737,222.7735102,58986.49181,13585.04315,359.0982591,-34.5252505
2dFGRS TGS547Z027                  ,G  ,0.05017,~,16.028,~,14.727,~,7,0,E,57:46.3,-34:59:28.757758233,0.37,0.222,208.944952,190.8627101,73347.54795,14495.74647,359.4428877,-34.9913216
2dFGRS TGS548Z154                  ,G  ,0.0477,~,16.116,~,15.112,~,3,0,E,58:08.0,-34:21:55.586123873,0.297,0.225,199.2438163,237.7750934,56142.69981,13806.1101,359.5333177,-34.36544059
2MASX J00005234-3550370            ,G  ,0.0521,~,16.12,~,~,~,13,0,E,00:52.3,-35:50:37.01,0.43,0.344,216.4849911,164.2307041,88317.79958,15032.99041,0.218120833,-35.84361389
2MASX J00005317-3559104            ,G  ,0.05004,~,16.07,~,~,~,12,0,E,00:53.2,-35:59:10.45,0.367,0.315,208.4358087,192.4228958,72575.55878,14459.50806,0.221558333,-35.98623611
2MASX J00013279-3345318            ,G  ,0.02295,~,16.21,~,~,~,4,0,E,01:32.8,-33:45:31.742510751,0.237,0.189,98.75910014,297.9713196,22206.36442,6762.362395,0.386573555,-33.75881736
2MASX J00025470-3543194            ,G  ,0.050473,~,16.25,~,~,~,10,0,E,02:54.7,-35:43:19.466745799,0.333,0.293,210.1310268,212.0696779,66387.51441,14580.18481,0.727844533,-35.7220741
MCG-06-01-038                      ,G  ,0.026812,~,14.35,12.8,~,~,11,0,E,16:44.7,-36:15:47.839934057,0.383,0.314,114.8397828,184.3843414,41729.49498,7877.917632,4.186436634,-36.26328887
2dFGRS TGS554Z045                  ,G  ,0.097755,~,15.978,~,14.596,~,6,0,E,13:19.3,-35:30:31.02,0.413,0.281,385.0182779,170.9908057,150863.2264,27351.30622,3.330233333,-35.50861667
6dFGS gJ001408.3-353648            ,G  ,0.011025,~,16.2,~,15.8,15.7,7,0,E,14:08.2,-35:36:48.1,0.67,0.3,48.13695729,105.4017951,30598.87295,3277.60246,3.534083333,-35.61336111
6dFGS gJ002132.8-335518            ,G  ,0.115465,~,16.07,~,~,~,4,0,E,21:32.8,-33:55:18.26,0.247,0.187,445.6053851,285.9077034,104423.7719,31943.40951,5.38685,-33.92173889
2dFGRS TGS499Z324                  ,G  ,0.031494,~,16.191,~,14.905,~,5,0,E,27:57.0,-33:52:58.096616352,0.38,0.274,134.1329307,185.8400072,48358.2975,9222.013298,6.987379987,-33.88280462
2dFGRS TGS500Z166                  ,G  ,0.078465,~,16.391,~,15.154,~,5,0,E,36:28.7,-34:13:13.659050272,0.337,0.249,316.052705,209.5525304,101051.1837,22234.87509,9.119715486,-34.22046085
MCG-06-02-028                      ,G  ,0.02333,~,15.51,~,~,~,9,0,E,46:55.0,-35:58:44.159857891,0.39,0.296,100.3480812,181.0748788,37130.06179,6872.405036,11.72927958,-35.97893329
2dFGRS TGS559Z204                  ,G  ,0.066408,~,16.031,~,15.078,~,4,0,E,46:12.2,-34:22:57.423046576,0.273,0.202,271.3016858,258.6783983,70269.54343,18972.47301,11.55103302,-34.38261751
2dFGRS TGS501Z293                  ,G  ,0.046,~,15.839,~,14.595,~,8,0,E,47:20.1,-34:14:52.936458393,0.403,0.274,192.5331732,175.2337537,73614.37128,13330.09754,11.8338095,-34.24803791
2dFGRS TGS560Z061                  ,G  ,0.0569,~,15.758,~,14.473,~,5,0,E,54:59.3,-35:09:06.052297435,0.333,0.26,235.0857832,212.0696779,74271.56788,16363.04168,13.74701857,-35.15168119
2dFGRS TGS505Z129                  ,G  ,0.05833,~,16.17,~,14.894,~,8,0,E,14:34.3,-33:56:04.834881986,0.35,0.224,240.5857624,201.7691507,79889.54717,16757.62084,18.64278953,-33.93467636
2dFGRS TGS504Z027                  ,G  ,0.031184,~,16.34,~,15.125,~,6,0,E,12:04.6,-33:48:15.789230136,0.323,0.226,132.8622984,218.6353026,40715.1722,9133.298355,18.01937343,-33.8043859
2dFGRS TGS504Z087                  ,G  ,0.033984,~,16.39,~,15.101,~,7,0,E,10:19.3,-33:50:53.571484443,0.34,0.218,144.3042986,207.7035375,46548.98093,9933.172137,17.58044689,-33.8482143
6dFGS gJ011836.3-333053            ,G  ,0.019534,~,15.68,~,14.926,~,5,0,E,18:36.3,-33:30:53.23,0.323,0.252,84.40860294,218.6353026,25866.71196,5770.3875,19.65127083,-33.51478611
2MASX J01123052-3345160            ,G  ,0.035558,~,16.41,~,~,~,4,0,E,12:30.5,-33:45:15.807568349,0.22,0.185,150.7022228,320.9963761,31455.33619,10381.4179,18.12709736,-33.75439099
2MASX J01184638-3308012            ,G  ,0.030688,~,16.203,~,15.162,~,6,0,E,18:46.4,-33:08:00.923264261,0.3,0.258,130.8272922,235.3973425,37236.73548,8991.272548,19.69320392,-33.1335898
2MASX J01200765-3255518            ,G  ,0.070098,~,16.21,~,~,~,6,0,E,20:07.7,-32:55:52.097066196,0.293,0.211,285.1353063,241.0211698,79263.01884,19976.36212,20.03188978,-32.93113807
2dFGRS TGS506Z149                  ,G  ,0.01949,~,15.711,~,14.714,~,6,0,E,20:26.8,-33:23:41.457616695,0.327,0.294,84.22297815,215.9608647,26129.45426,5757.57787,20.11164713,-33.39484934
2MASX J01283488-3217472            ,G  ,0.119983,~,16.1,~,~,~,4,0,E,28:34.8,-32:17:47.140158313,0.3,0.216,460.6585545,235.3973425,131115.0025,33099.56399,22.14520167,-32.29642782
6dFGS gJ012114.9-331312            ,G  ,0.019068,~,15.905,~,15.163,~,5,0,E,21:14.9,-33:13:11.72,0.263,0.221,82.44165339,268.5140789,20570.95404,5634.679776,20.3119875,-33.21992222
